代號,名稱,市場,漲幅%,5日籌碼,外資5日,投信5日,投信連買,5日集中%,預估量比
03034T,美費半凱基5A售02,TW,0.0,-70.0,0.0,0.0,0,0.0,0.0
03035T,台積電凱基5A售11,TW,0.0,-215.0,4.0,0.0,0,0.0,0.0
03036T,華邦電凱基5A售03,TW,0.0,-2.0,-2.0,0.0,0,0.0,0.0
03039T,臺股指凱基65售03,TW,0.0,5.0,0.0,0.0,0,0.0,0.0
03040T,力積電元大5A售07,TW,0.0,0.0,0.0,0.0,0,0.0,0.0
03045T,鴻海凱基5C售07,TW,0.0,-35.0,0.0,0.0,0,0.0,0.0
03048T,台灣50富邦5A售04,TW,0.0,-18.0,0.0,0.0,0,0.0,0.0
03049T,台灣50富邦5C售12,TW,0.0,6.0,0.0,0.0,0,0.0,0.0
03050T,T50正2富邦5B售04,TW,0.0,-1424.0,0.0,0.0,0,0.0,0.0
030518,滬深2X凱基59購02,TW,0.0,276.0,0.0,0.0,0,0.0,0.0
03051T,臺股指富邦5A售14,TW,0.0,-1829.0,0.0,0.0,0,0.0,0.0
03052T,臺股指富邦5A售15,TW,0.0,-1654.0,0.0,0.0,0,0.0,0.0
03055T,臺股指富邦5B售10,TW,0.0,211.0,0.0,0.0,0,0.0,0.0
03056T,T50正2凱基63售04,TW,0.0,-87.0,0.0,0.0,0,0.0,0.0
030573,台積電統一68購01,TW,0.0,629.0,0.0,0.0,0,0.0,0.0
030576,智邦統一5A購01,TW,0.0,112.0,0.0,0.0,0,0.0,0.0
030578,金像電統一62購01,TW,0.0,13.0,0.0,0.0,0,0.0,0.0
03058T,臺股指凱基5A售48,TW,0.0,-40.0,0.0,0.0,0,0.0,0.0
030591,緯創統一59購01,TW,0.0,316.0,0.0,0.0,0,0.0,0.0
030592,緯創統一5A購01,TW,0.0,42.0,0.0,0.0,0,0.0,0.0
03059T,日本2X元大5B售01,TW,0.0,-54.0,0.0,0.0,0,0.0,0.0
030608,緯穎統一5B購01,TW,0.0,84.0,0.0,0.0,0,0.0,0.0
030609,緯穎統一62購01,TW,0.0,77.0,0.0,0.0,0,0.0,0.0
03060T,臺股指群益5A售19,TW,0.0,-1.0,0.0,0.0,0,0.0,0.0
03061T,臺股指群益5A售20,TW,0.0,0.0,0.0,0.0,0,0.0,0.0
03063T,臺股指群益5A售22,TW,0.0,-13.0,0.0,0.0,0,0.0,0.0
03065T,T50正2群益5A售06,TW,0.0,-7.0,0.0,0.0,0,0.0,0.0
03066T,T50正2群益5A售07,TW,0.0,5.0,0.0,0.0,0,0.0,0.0
